frame,velocidade_media,aceleracao_media,jitter_medio,fluidez_movimento,confianca_media,confianca_min,confianca_std,total_pessoas,video,tracking,classe
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Normal_Videos_050_x264,DeepSORT,normal
